English,Hindi,Gondi
The workers were lifting bricks.,मजदूर ईंटें उठा रहे थे।,कमयालोर इट्टंग तेहचोर मंदुर।
Where do u stay?,तुम कहाँ रह रहे होगे?,निमा बोग्गा मंजोर मंदाकिन आयर ?
It is best to wear cotton clothes in summer.,गर्मियों में सूती कपड़े पहनना सबसे अच्छा है,एद महर ते कपसा गेलींग कर्रना बेस आयता
These stores of women self-help groups have been opened at a very prominent place in Thanjavur,महिला स्वयं सहायता समूह के ये स्टोर तंजावुर में एक बहुत ही प्रमुख स्थान पर खोले गए हैं,म्ुयतह स्वयं सहायता समुह न इद डेरा तन्जावुर त कुबेय बेस डेरा ते खुले माता।
The seed paddy is set aside for sowing in the coming year.,आने वाले वर्ष में बोआई हेतु बिजहा धान पृथक कर रख लिया जाता है।,वायना वेत्तुर ते वीतता विज्जा-वेंज तुन अलग इर्रान्तोर।
"Its fruits, flowers, leaves, stem and roots are all useful.",इसके फल-फूल पत्ते तने एवं जड़ सभी उपयोगी है।,"ऐना काय-पूगांह,अंकिंग, तोलांग, हिर्रक, सप्पोय उपयोग आन्ता।"
"According to traditional belief, the ploughed area is considered a sacred place.",परंपरागत मान्यता अनुसार हल चलाये गये जगह को पवित्र जगह माना जाता है,दारा अनुसार नागेल चलाह कीतके जागा तुन पेन जागा माने मयतोर।
The Jaipuri Bandhani saree has its own speciality.,जयपुरी बंधनी साड़ी की अपनी विशेषता होती है,जयपुरी बंधनी गेतिनाह अपुना अलग पहचान आयता
The use of artificial intelligence in education is increasing.,शिक्षा में आर्टिफिशियल इंटेलिजेंस का उपयोग बढरहा है,शिक्षा ते आर्टिफिशियल इंटेलिजेंस ता उपयोग बरसायता।
"In the culture of India, every colour is associated with emotions.",भारत की संस्कृति में हर रंग भावनाओं से जुड़ा होता है।,भारत ता बाना ते सपोय रंगिंग बिचारिने जोड़े मातंग।
Dad is driving the car.,पापा गाड़ी चला रहे हैं।,बाबल गाडा चलेह किययतोर।
The fun of monkeys in the jungle is worth seeing.,जंगल में बंदरों की मस्ती देखने लायक होती है।,कोट्टुम ते मूसक ना वडि़ंग हियन्‍ना तुन हूड़नह आयता।
Our capabilities and resources play a big role in dealing with any disaster.,किसी भी आपदा से निपटने में हमारे सामर्थ्य और संसाधनों की भूमिका बड़ी होती है –,बोद्दे गला आपदा तह निपटेमायता मावा हिमोत अन संसाधनी ना कारबार बेरहय आयता
Indian water resources are used for industrial production.,भारतीय जल संसाधनों का उपयोग औद्योगिक उत्पादन के लिए किया जाता है,भारत तंग एर्र डेराकनह क पंडाना कारकाना उबजेह कियना आंता
The entrance of the house is considered auspicious according to the directions.,दिशाओं के अनुसार घर का प्रवेश द्वार शुभ माना जाता है।,कोटुह नह लेहका लोता होड़ियाना हर्र बेस माने मायहयता।
The fields of India are the worship place of hard work.,भारत के खेत मेहनत की पूजा स्थली हैं।,भारत तंग ओड़क बुतोता पुजा त डेरा मन्‍ता ।
Conservation of Indian wildlife is our responsibility,भारतीय वन्यजीवों का संरक्षण हमारी जिम्मेदारी है,भारत तंग कोटुम काजेरेक् ना राका मावा जिम्मेदारी आन्द।
The simplicity of life resonates in the language of India.,भारत की भाषा में जीवन की सरलता गूंजती है।,भारत ता पोल्‍लो दे जिलंगी ता सहज नेकायता।
She was making hair.,वह बाल बना रही थी।,अद कल्क कण्डसोर मत्ता।
"Major areas of Delhi such as Gurgaon, Noida, and Faridabad are adjoining suburbs of Delhi.","दिल्ली के प्रमुख क्षेत्र जैसे गुड़गाँव, नोएडा और फरीदाबाद दिल्ली के सटे हुए उपनगर हैं।","दिल्‍ली तंग मुक कोलान इदम गुड़गांव, नोएडा, अन परीदाबाद दिल्‍ली तह मिले मायले हुडीला सहेर आंद।"
People are shopping in the market.,लोग बाजार में खरीदारी कर रहे हैं।,मोनय हाटुम ते एसना किययतोर।
I'll be boiling milk.,मैं दूध उबाल रहा होऊँगा।,नन्ना पाल डपकेह कीसोर मंदाका होही ?
Congress president Rahul Gandhi tweeted his birthday wishes for PM Modi.,पीएम मोदी ने ट्वीट कर राहुल गांधी को जन्मदिन की बधाई दी तो कांग्रेस अध्यक्ष ने यूं दिया जवाब,राहुल गांधी न जनुम दिया ते च्ड मोदी ज्ूममज कितूर गिर्दा तो कांग्रेस अध्यक्ष गला इदम हितूर पोल्लो
Dad was talking on the phone.,पिताजी फोन पर बात कर रहे थे।,बाबाल फोन ते वड़कन्दु।
It is being done to build houses for the poor.,गरीबों के घर बनाने के लिए हो रहा है।,हिल्वोरंग लोह्क पंडानते आयता।
One such person is Bhim Singh Bhaveshji of Bhojpur in Bihar.,ऐसे ही एक व्यक्ति हैं – बिहार में भोजपुर के भीम सिंह भवेश जी,इदामे वेरोर मानेय मंतोर बिहार ते भोजपुर तो भीमसिंह भवेश जी।
They will be good improvers in relationships.,वे रिश्तों में अच्छे सुधार लाने वाले होंगे।,ओर लोर नतानुंग बने तीसवालोर आयनुर।
Weren't we going to the market?,क्या हम बाजार नहीं जा रहे थे?,ब ? माट हाटुम हनोम आन्दोम ?
"Prime Minister: But, there are houses on the hills, too, far away from each other.","प्रधानमंत्री: लेकिन, वहाँ पहाड़ों पर घर भी एक दूसरे से बहुत दूर हैं।","प्रधानमंत्री जीः- मति, अगा तो मेट्क ने लोहक कुबैय लेक-लेक मंदूंग"
They wore warm clothes in winter.,वे सर्दी में गर्म कपड़े पहनते थे।,ओर लोर पीन बेरा कासले गत्ती कर्रन्दूर।
The airplane appeared very small in the sky.,हवाई जहाज आकाश में बहुत छोटा दिखाई देता था।,वड़ जहाज बूम पर्रो ते कुबेय हुचूह्ला ओहनाह् आयता।
My mother was making bread.,माँ रोटी बना रही थी।,यायाल हार्रींग पंडन्दुंग।
The child will be playing with new toys.,बच्चा नए खिलौनों के साथ खेल रहा होगा।,पीला पूनंग पूतरी-सुतरी ना संग कर्ससोर मंदर होही।
Bhagat Singh's love was for freedom and equality.,भगत सिंह का प्रेम स्वतंत्रता और समानता के लिए था,भगतसिंह ना लाड स्वतंत्रता अन बरोबर काजे मता।
It was very difficult to hunt a lion.,शेर का शिकार करना बहुत मुश्किल होता था।,नीरदा शिकार कीयाना पकय मुश्किल आन्द।
He made his life an example,उन्होंने अपने जीवन को एक उदाहरण बना दिया,ओर आपुना जिलंगी तुन मुन्ने वेहनाह लेहका पंडतुर।
"Without water craft, sea trade is not possible.",पानी जहाज के बिना समुद्री व्यापार संभव नहीं है।,एर्र जहज लेवा समंqदर ता बयपार आया पर्रो।
Ladakh is a cold and beautiful region of India.,लद्दाख भारत का एक ठंडा और सुंदर क्षेत्र है।,लद्दाख विज्ञान अन गणित ते तयहा दिय्या तह मुन्‍ने वीड़तेय मता।
Diesel vehicles are used in freight transport.,डीज़ल वाहनों का उपयोग माल परिवहन में होता है।,डिजेल मोटोहकुन बिडारिंग ओयना ते बवरे कियन्‍ना आयता।
Gram Sabha is important in Panchayati Raj.,पंचायती राज में ग्राम सभा का महत्व होता है,पंचायती राज ते नार्र सभा ता कास आयता।
"Our scriptures say -'Atmavat Sarvabhuteshu ', that is, we treat the living entity as ourselves, behave as ourselves.","हमारे शास्त्रों में कहा गया है – ‘आत्मवत् सर्वभूतेषु’, अर्थात्, हम जीव मात्र को अपने समान मानें, अपने जैसा व्यवहार करें","मावा पडानंग कोटले ने इल्ले आता’ सपोय जीवानुंग आपुना जीवा ता बरोबर अदामे लहका माट जीवानुंगआपुना लहका पुन्दाना, आपुना लहका आदेत किम्ट।"
You were making tea.,तुम चाय बना रहे थे।,निमा चहा पन्डसोर मंदी।
Without a voice that tells a story - tell what?,बिना आवाज़ के जो कहानी कहता है — बताओ क्या है?,बिना अरो वेवय पीटोंगनुंग इन्‍दोर वेहर बाता आंद
You will go straight to the west.,पश्चिम की ओर सीधा जाओगे।,पोड़द मुल्लाना होकेर ते सोज वायकिट।
The best thing to do is to observe peace.,शांति का पालन करना सबसे श्रेष्ठ कार्य है।,सुक ना हर्र ते ताकना नक्‍कय बेस ना बूतो आँद।
Proper delivery of health services is essential.,स्वास्थ्य सेवाओं का उचित वितरण आवश्यक है,स्वास्थ्य सेवा न समुचित वितरण जरूरी आन्द।
The library is a national heritage.,पुस्तकालय राष्ट्रीय धरोहर है।,कागेतलोन देस ता तासले बीडर आन्‍द।
The library inspires children to read.,पुस्तकालय बच्चों को पढ़ने के लिए प्रेरित करता है।,कागेत डेरा ते पीलानुंग पड़ेह कियन्‍ना बाटा रोंजहयता।
He cut my nose in front of everyone.,उसने तो सबके सामने मेरी नाक कटवा दी। (नाक कटवाना),ओर तो सब जन ता मुनके नावा मोसोर कदिहतूर।
The time of mango harvest every year is very special.,हर साल आम की फसल का समय बहुत खास होता है,सपोय वरसा ते आम ता फसल ता बेरा कुबेय कास आयता।
"The village pond is not just a source of water, but a center of life.","गाँव का तालाब सिर्फ जल का स्रोत नहीं, जीवन का केंद्र होता है।","नाटा तड़य सिरतोम एर्र ता कंन आयो, मति जिलगी ता मूड़ आयता।"
Industrial development in rural areas should be given priority.,ग्रामीण क्षेत्रों में औद्योगिक विकास को प्राथमिकता दी जानी चाहिए,औद्योगिक विकास तून देहात ते महत्व हियाना आयी।
This was due to the change in weather.,इसके कारण ही मौसम बदलता था।,इदेना करने ते मौसम बदले माद।
He must have dropped the key in the water.,उसने पानी में चाबी गिरा दी होगी।,ओर एर्र ते कूंजी अरिह्तुर होही।
"Friends, I was very happy to know about Saparom Naya Sarai, a village adjacent to Ranchi.","दोस्तों, रांची से सटे एक गाँव सपारोम नया सराय के बारे में जानकर मुझे बहुत अच्छा लगा",गोतियालोरिट माकुन रांची से मिलेह उन्द नार सपोरोम पुना सराय अगाडा बोर ते जानकारी बहुत अच्छा आनता।
The library often has a shelf conversion for new books.,पुस्तकालय में अक्सर नई किताबों के लिए शेल्फ़ बदलने का काम होता है।,कागेत डेरा ते वल्‍लाकीस पूनंग कागेति ना बाटा अलमारी बदलेह कियना ता काम आयता।
"Using the charkha, we can cherish our today and tomorrow",चर्खा का उपयोग करके हम अपने आज और कल को संजो सकते हैं,राहटा ना कियना आतेक माक अपुना नेंड अन नाड़ तुन सजेह कीस इर्र परतोरट ।
I was saying goodbye a lot in my childhood.,मैं अपने बचपन में बहुत अलविदा कह रहा था।,नन्ना आपुना पीला बेरा ते कुबैय बीदा इंदसोर मतोना।
"In the villages of India, every child inherits a story.",भारत के गाँवों में हर बच्चा किसी कहानी का वारिस होता है।,भारत तंग नाह्क ने सपोय पीला बदे पीटो ता हकदार आंतोर।
We have also had the opportunity to observe biodiversity up close.,हमें जैव विविधता को भी करीब से देखने का अवसर मिला है।,"रंग-रंग ना जीवा नुंग, हेरे तह हूड़ता मोंका गला पुटता"
Father will bring vegetables from the market.,पिता बाजार से सब्जी लाएँगे।,बाबल हाटुम तह कुसीर ततान्दुर
It will be great fun to sit on your back.,पीठ पर बिठाएंगे तो बड़ा मजा आएगा।,मूर्सूल ते उपहर तो कुबैय मंजा वायर
Indian family values convey a message of goodwill and love,भारतीय पारिवारिक मूल्य सद्भावना और प्रेम का संदेश देते हैं,भारतीय गंुदा ते मोला बिसवास अन लाड ता कबिर हियना आयता।
The fan was making a whirring sound.,पंखा घूं घूं की आवाज कर रहा था।,पंका ''घूं घूं '' ता लेंग कीसोर मंद ।
He adopted a holistic approach towards agriculture.,उन्होंने कृषि के प्रति समग्र दृष्टिकोण अपनाया।,ओना लोर कृषिता सब नजर ते अपने कीतूर ।
Mom will be making sweets.,माँ मिठाई बना रही होगी।,अवहारी कजेनंग पंडसोर मंदार होही।
Marathi language literature is rich and varied.,मराठी भाषा का साहित्य समृद्ध और विविधतापूर्ण है,मराठी भाखा ता कोटले पोल्लो बेड़सले अन्न सबोयतः ठीक मनता।
Try this idea as well.,आप भी इस idea को आज़मा के देखिए,निम्मट गला इद अकेल तुन तिगे मास हूड़ाट
Teachers occupy an ideal position in society.,शिक्षकों का समाज में आदर्श स्थान होता है।,गुरजी लोरा कुटुम ते आदर्श जागा आयता।
The Agra Fort is a fine example of Mughal architecture.,आगरा का किला मुगल वास्तुकला का उत्तम नमूना है,आगरा ता किला मुगल बीनकर कीलेना कुबैय बेसले मुटरेंन मंता
A storm would be devastating the coastal cities.,एक तूफान तटीय शहरों को तबाह कर रहा होगा।,उन्द वड़दुका समुन्द ता ओदा शहेरीनुंग तसनस कीयायता होही।
"So he thought his general knowledge would be good enough,","इसलिए उसने सोचा कि उसका सामान्य ज्ञान काफी अच्छा होगा,",इदेनका ओन लागे मांद कि ओना वांगुने गला पुंदन्ना ता गोक कुबैय बेस आयर।
Kantikar Shriram protected the wildlife of India.,कांतिकर श्रीराम ने भारत के वन्य जीवन की रक्षा की,कांतिकर श्रीराम भारत तं कोट्टुम जीवानुंग पिसिह तुर (राखा कीतुर)
The girl looks into the mirror.,लड़की आईना देखती है।,माट तीहर मानह कीन्तोलाल/किययतोलाल।
Medicinal pulp is made and fed to the animals.,औषधियों की लुगदी बनाकर पशुओं को खिलाया जाता है,मत्क न लोंद्दा पंड्स जानवोरि नुंग तीहि आयता
Indian families are a confluence of joys and struggles.,भारतीय परिवार खुशियों और संघर्षों का संगम होते हैं,भारतीय कुन्दा गिरदा नंग अन लड़ाईता मिलन आंतंग
"In our village, the janmani system was found in inter-caste relationships.",हमारे गांव में अन्तर्जातीय संबंध अन्तर्गत जनमानी प्रथा पाई जाती थी।,मावा नाटे दूसरोर बिराद ते कटलेर उंद आस कियना रीत हूड़ना पुट्न्दु।
Bikes are cheap and convenient to ride.,बाइक सस्ती और सुविधाजनक सवारी है।,पट्पटी सस्‍ता अन काम ते वायना गाडा आंद।
"Divyanka Tripathi on rumours of her death: ""Arre main zinda hoon...""","अपनी मौत की अफवाहों पर दिव्‍यांका त्रिपाठी ने कहा, 'अरे मैंजिंदा हूं...'","आपुना हायले ता अपवह ता पोर्रो दिव्यांका त्रिपाठी इतु, अरे इदेक जिन्दा मन्तोना"
Tabla has dhrut and vilambit talas.,तबला वादन में ध्रुत और विलंबित ताल होते हैं,तबला वादन ते धु्रव लेहका नेकहाना अन पेहचाना आयतांग।
The order of the numbers is given in this verse.,इस श्लोक में संख्याओं का क्रम दिया गया है।,इद श्लोक ते नम्बरींग न आर्डर वेहले आता।
I was always trying to hear new sounds.,मैं हमेशा नई आवाजें सुनने की कोशिश करता था।,नन्ना पुरका (रोजा) पुनंग आवाजिंग केन्जला कोसित कीन्दन।
Copying builds confidence.,कॉपी से आत्मविश्वास बढ़ता है।,कॉपी ते अपुना बिसवास बर्सयता।
Swami Vivekananda said that every person has a part of God.,स्वामी विवेकानंद नेकहा कि हर व्यक्ति में ईश्वर का अंश होता है,स्वामी विवेकानंद इत्तुुर कि सपोय मानेयक ने बगवान त हिस्सा आयता
The voice of the donkey will be heard from a distance.,गधे की आवाजदूर से सुनाई देगी।,गदहा ता लगे लेक तह्हे केंजी आयर ।
They will play at the park tomorrow.,वे कल पार्क में खेलेंगे।,ओर लोर नाड़ बनवड़ ते कर्रसनुंग।
The fisherman is spreading the net.,मछुआरा जाल फैला रहा है।,मिन पयवाल जाल पिटिहतोर।
He went to college.,वह कॉलेज जाता था।,माट आपिस ते बूतो कीदोम ।
"Due to the differences in karaoke, people develop a sense of discrimination.",कराक के भेदों के कारण लोगों में भेदभाव की भावना विकसित होती है।,इवे असेरिना कारेन ते मानेय ता पुनवप कियन्‍ना ता बिचर बर्रसन्‍ना आयता।
I also express my heartfelt appreciation to Sangay Sherpa ji and his colleagues as well as those engaged in the noble cause of environmental conservation across the country.,"मैं, संगे शेरपा जी और उनके साथियों के साथ-साथ देशभर में पर्यावरण संरक्षण के नेक प्रयास में जुटे लोगों की भी ह्रदय से प्रशंसा करता हूं।",नना संगे शेरपा जी अन ओर गोतियालोरिट लोकरा संग’संग देश मेटे मेटा गुता तुन पिसीलबा बने कोशिद ते लगे मानेय कुन गसा जीवा तह सुरता कियायतोनर।
"Taimur Ali Khan's video went viral, the little Nawab showed the attitude again, said - I will not...","तैमूर अली खान का Video हुआ वायरल, छोटे नवाब ने फिर दिखाया एटीट्यूड, बोले- मैं नहीं करूंगा...",तैमूर अली खान ना Video आत वायरल दुडलोर नवाब पेर तोहत ढोंग इतूर नन्ना केवोन
He does not have the courage to admit his mistake. (not having the courage to admit his mistake),अपनी गलती को मानने की उसमें हिम्मत नहीं है। (गलती मानने की हिम्मत न होना),आपुना जुक्ले तुन माने मायना ता ओनागा हिमोत हिल्‍ले आयता।
"No matter how adverse the circumstances, keep your sense of humor alive.","परिस्थितियाँ कितनी भी प्रतिकूल क्यों न हों, अपनी हास्य-भावना को जीवित रखें।","बोचोय घटनंग हतलम बाक्या ना आयो, मति आपुना कवादि-कवहाना तुन जीवोत इर्रट।"
"When a woman smiles, the house smells.","नारी जब मुस्कराती है, तो घर महक उठता है।",मुयतड़ बेसके कवायता असके लोते गंद तेदयता।
Subhas Chandra Bose acquired knowledge of many languages.,सुभाष चंद्र बोस ने कई भाषाओं का ज्ञान प्राप्त किया,सुभाष चन्द्र बोस कुब्बे पल्लोनूंग कर्रिय तुर।
Ashoka made efforts for unity and harmony,अशोक ने एकजुटता और सामंजस्य के लिए प्रयास किए,अशोक उंद सूल अन मीले मास मंदना ता बाटा कोसित कीतुर
He is writing a letter.,वह पत्र लिख रहा है।,ओर चिट्टी कोटयतोर।
The people of India have had a special relationship with the sun for centuries.,भारत के लोगों का सदियों से सूर्य से एक विशेष रिश्ता रहा है,भारत त मानेय तैयटात पोदड़  त उन्द पक्का नत्ता मनता।
Brother will play football.,भाई फुटबॉल खेलेगा।,तम्मो कुड़वल कर्रसनुर
"The food is very hot, let it cool.","खाना बहुत गर्म है, ठंडा होने दो।",गाटो कुबैय कास्ता दड़िगला हीम
"Today, on the occasion of 26th January, a cultural programme was held in the school.",आज 26 जनवरी के अवसर पर स्कूल में सांस्कृतिक कार्यक्रम रखा गया था।,नेंड 26 जनवरी ता मोका ते इस्कूल तिग्गा एंदान्ना डेहकन्ना जलसा तोहल्ले आत।
"At the time of delivery, the local midwife is called, who performs the delivery.","प्रसव के समय स्थानीय दाई को बुलाते है, जिसके द्वारा प्रसव कार्य किया जाता है",परसव त समय अगाडय दाई तुन पुरखा अन प्राकृति त देन माने मायतोर
We will go to a friend's house.,हम दोस्त के घर जाएँगे।,माट लगवारना लोते दाकोम
You were singing.,तुम गाना गा रहे थे।,निम्मा पाटा पारसोर मंदी।
He will wash the fruit with water.,वह पानी से फल धोएगा।,नन्ना एर्र तह काया पडिंग नोर्रतुर।
The weather may change due to the influence of the water cycle.,जल चक्र के प्रभाव के कारण मौसम बदल सकता है,"एर्र ता गुम्मे मायनांक प्रभाव तुन असर ते कयोहड रूप बानीग, आयतांग।"
What will you be doing?,तुम क्या कर रहे होगे?,निमा बाता कीसोर मंदाकिन आयर।
The sea is bordered by Africa to the west and Asia to the east.,यह सागर पश्चिम में अफ्रीका और पूर्व में एशिया से घिरा हुआ है,इद समुंद पश्चिम ते अफ्रीका अन बेरा पसियना के एसिया तह गेरे आले मंता
Women wear colored glass bangles on both wrists.,सुहागिन स्त्रियां कांच की रंगीन चुडियां दोनो कलाईयों में पहनती है,मरमिंग आलेंग मुयताह कांच तंग रंग-रंग नगं सुडिगं रण्डो कैक मे कर्राय तंग।
It is due to your efforts that the sale of Khadi has increased manifold in the country today.,आपके प्रयासों से ही आज देश में खादी की बिक्री कई गुना बढ़ गई है।,"इद मियय कोसित आंद कि, नेंड देश ते कादी त मोमना कयो गुनांग बर्सता"
A healthy society cannot be imagined without cleanliness.,स्वच्छता के बिना स्वस्थ समाज की कल्पना नहीं की जा सकती,निरकुल हिलवेक बेस कुटुम ता गोक उपजेह किया पर्रस आयो आयर
"Yes, it was the sense that we were also","हां, ये भाव था कि हम भी",इंग्गो इद बिचार त मावा गल्ला
He established equality and justice in society.,उन्होंने समाज में समानता और न्याय की स्थापना की,ओर कोटुम ते उंद लेहका अन उंद रीत (न्याय) त थापना कीतूर।
"The castes that lived in our village were Brahmins, Banias, Barbers, washermen, blacksmiths, Gandas, Satnamis, etc.","हमारे गांव में ब्राह्मण, बनिया, नाई, धोबी, लोहार, गांडा, सतनामी आदि जातियां निवास करती थीं।","मावा नाटे बामेन, बनिया, नाउ, दोबी, कारिगिर, गांडो, सतनामी सपोय जातिंग बसे मास मतंग।"
The view from the Tatamari Hill Point in Bastar is a treat for tourists.,बस्तर के टाटामारी हिल पवांइट से चारों तरफ का नजारा पर्यटकों को खूब भाता है।,बस्तेर ता टाटामारी हिल पवाइट तह उंद हूर ता हूड़नह सोवा हूडवालोरकुन कुबैय बिचर वायता।
Who is this crow?,यह गठरी किसकी है?,इद मोटरा बेना?
"In India, worship is not limited to the temple.",भारत में पूजा केवल मंदिर तक सीमित नहीं होती।,भारत ते पूजा केवल मंदेर अवनह सीमित आयो।
Dust will fly in the air.,हवा में धूल उड़ेगी।,वड़दे दुर्रको मंदार।
Am I reading the letter?,क्या मैं चिट्ठी पढरहा हूँ?,बाता नना चिटी पड़हे मायतोना
"Be it our sanitation workers or our veterans from different sectors, Mann Ki Baat has worked to bring everyone together. The affinity and affection that you all have shown for Mann Ki Baat is unprecedented and emotional.","हमारे सफाईकर्मी भाई-बहन हों या फिर अलग-अलग sectors के दिग्गज, ‘मन की बात’ ने सबको एक साथ लाने का काम किया है| आप सभी ने जो आत्मीयता और स्नेह ‘मन की बात’ के लिए दिखाया है, वो अभूतपूर्व है, भावुक कर देने वाला है",मावगा हैयवालोर तमोह-हेलह आयिंग अहनेक पेरे वेगरोह-’वेगरोहsectors तोर दाक बितोर गोक ता पोल्लो तुन कुड़ुहले उन्द पहर तताना तो  बूतो कीतुर मिया कुड़ुहले आपुना अन लाडर्रा लोर ततोरिट गोक ता पोल्लो ता इाटज्ञ अद जोरदार मता अन निया पैय पर्रवह मंता।
People will be moving faster.,लोग तेज चल रहे होंगे।,मानेय जोर ने हंजोर मंद्दानुर  होही।
It's hard to move forward in life without time planning.,समय नियोजन के बिना जीवन में आगे बढ़ना मुश्किल है,टेम तैयार कियाना ते पोरोय हिले जिनगी मुनने बेड़सहना हुडिला आन्द
The body felt the heat of the sun.,सूरज की गर्मी शरीर को महसूस होती थी।,पोड़द ता कासले मेन्दुल कुन महसूस आंद
"A considerable amount of social capital has been invested by the States in capacity building of Joint Forest Management Committees over the years for protection, conservation and management of forests. Should these committees not be converted into the committees mentioned in Rule 4 (1) (4)?","वनों की सुरक्षा, संरक्षण तथा प्रबंधन के लिए विगत 15-20 वर्षों में संयुक्त वन प्रबंधन समितियों के क्षमता निर्माण में राज्यों द्वारा सामाजिक पूंजी का काफी निवेश किया गया है। क्या इन समितियों को नियम 4(1) (४) में उल्लिखित समितियों में परिवर्तित नहीं किया जाना चाहिए?",कोट्टुम न रक्षा राका अन देक-रेक ता बाटा नीरे हेयेटंग वरसा 15-20 वरसा ने सप्पो कोट्टुम ता प्रबंधन समिति ता क्षमता पन्डाना ते राज्यनहक बुमकाली पूंजी ता नेहनय ओले आता। बाता इव समिति नुंग नियम 4(1)(4) ते कोटलेंग समितिनुग बदलह कियाना आयो?
Literature teaches us to share our experiences with others.,साहित्य हमें अपने अनुभवों को दूसरों के साथ बाँटना सिखाता है।,कतांग माकुन आपुना पुन्‍दलेनूंगा दूसरोन ना संग तुसाना कर्रहयता।
These roofs are made under the supervision of the'Vattalakki Cooperative Agricultural Society '.,इन छातों को ‘वट्टालक्की सहकारी कृषि सोसाइटी’ की देखरेख में बनाया जाता है।,इव छातानंग ‘वट्टालक्की सहकारी कृषि सोसाइटी’ ता देकरेक ते पंडयतोर
Education makes a man wise.,शिक्षा मनुष्य को विवेकशील बनाती है।,शिकचा मानेय तुन अक्‍केल बुद बित्‍तल पंडयता।
"Defence Minister Nirmala Sitharaman meets family of Aurangzeb, says family an inspiration for entire nation","शहीद औरंगजेब के परिवार से मिलीं रक्षा मंत्री सीतारमण, कहा- यह फैमिली पूरे राष्ट्र के लिए प्रेरणा","ाहीद औरंगजेब त कुन्दा ते बेट आत रक्षामंत्री सीतरमण, इत्त-इद सपोय राष्ट्रत्क कर्रिलय गिर्रदा"
"My dear countrymen, Namaskar!","मेरे प्यारे देशवासियो, नमस्कार","मावा देस ते मनवालोर लाडरालोरिट, सेवा-जोहार"
And he started pearl farming in his village.,और उन्होंने अपने गांव में मोती की खेती शुरू कर दी।,अन आपूना नर ते ही मालांग ता खेती शुरू कीतूर।
Expectations can be fulfilled.,अपेक्षाएं पूरी हो सकें।,सब पूरा आयींग।
Even a small lamp lit in the field of education can illuminate the entire society.,शिक्षा के क्षेत्र में जलाया गया एक छोटा सा दीया भी पूरे समाज को रोशन कर सकता है।,शिक्षा करिहना ता क्षेत्र ते पोहित चीले उन्द हुडीला डिवरी गला पूरा समाज तून वेश किया परता।
Multi-starrer films like Happy New Year are also made.,हैप्पी न्यू ईयर जैसे मल्टीस्टारर फ़िल्में भी बनती हैं,‘‘हैप्पी न्यू ईयर‘‘ अदामें मल्टीस्टारर फिल्मींग बने मायतंग।
She will read books.,वह किताबें पढ़ेगी।,अद कागेतिंग पड़हे कियर ।
The smell of the fields gives immense pleasure to the mind.,खेतों की महक मन को असीम सुख देती है।,कमायिंग ना दैंगूड़ गोक तुन बेस ता सुकुन हिन्‍ता।
Used to inspire youth for jihad by showing Osama's video: NIA,ओसामा का वीडियो दिखाकर युवाओं को जेहाद के लिए प्रेरित करता थाभटकल : एनआईए,ओसामा ता पोटो तोहच लेयोर कून नोमूर ते भरोशा कियाना भटकल एनआईए
The smell in the air will be unbearable.,हवा में बदबू असहनीय होगी।,वड़ दे कुबेय दैंयग्ले दय पैयापरनह आयो आयर।
These were also abandoned by the Lingos.,इन्हें भी लिंगो ने त्याग दिया था,इदेन गला लिंगो तास्स हीस मतोर
You will be mixing colours in the water.,तुम पानी में रंग मिला रहे होगे।,निमा एर ते रंग की मीलेह कीसोर मंदकोम।
She must be eating sweets.,वह मिठाई खा रही होगी।,अद कजेना तिन्दाना किसोर मन्दर होही।
"Without speaking, he who speaks from the heart - tell me what is it?",बिना बोले जो दिल की बात कह देता है — बताओ क्या है?,वड़कवय जीवा ता पोल्‍लो इन्‍तोर वेहट बाता आंद
"The surrounding area is covered with greenery, with dense forests and rare vegetation.","आसपास का क्षेत्र हरियाली से ढका हुआ है, जिसमें घने जंगल एवं दुर्लभ वनस्पति देखने को मिलती है।",हेरे गुरे ता कोलान लहलहाले मास मुड़दिता। अपेडे कटकटा कोटुम अन ओहवा हीर मोरोल हुड़लो पुटयनंग।
The city is one of the largest cities in the state of Chhattisgarh.,यह शहर छत्तीसगढ़ राज्य के सबसे बड़े शहरों में से एक है।,इद सहर छत्तीसगढ़ राज ते सबले बरहा सहर तह उन्‍द आन्‍द।
The woman of India carries the power of inspiration in her silence.,भारत की नारी अपने मौन में प्रेरणा की शक्ति समेटे होती है।,भारत तंग मुयताड़ आपूना केमेक मंदना कर्रियनह ता लाव उड़हाना आंता।
His poems became a medium to bring change in the society.,उनकी कविताएँ समाज में बदलाव लाने का माध्यम बनीं,अदेनंग पीटोंग समाजते बदलाव तताना माध्याम बनेमात।
The Rath temples of Mahabalipuram are part of Indian archaeology.,महाबलीपुरम के रथ मंदिर भारतीय पुरातत्व का हिस्सा हैं,महाबलीपुरम ते रथ मंदेर भारतीय पुरातत्व ता हिस्सा आंद।
Students will write the answers.,छात्र उत्तर लिखेंगे।,पेकोर उत्तर कोटयनुर
The temples of India are the gates of meditation and mindfulness.,भारत के मंदिर ध्यान और ध्यानावस्था के द्वार हैं।,भारत तंग मंदेर दियान अन दियान अन हूजाड़ तह आंद।
