English,Hindi,Mundari
Please create a new list.,कृपया एक नई सूची बनाएं।,कृपया मिआद नावा सूची बाइपे।
So she kept trying day and night to bring forward such marginalized tribal groups.,तो ऐसे आखिरी छोर पर रहने वाले आदिवासी समूहों को आगे लाने के लिए वो दिन रात प्रयास करती रहती थीं।,दो नेकन टुंड़ु सअः रे तइन तन आदिवासी गोट को अयर अउ मेनते इनि निदा-सिंगि कुसिस तन तइकेना।
make sure breads are on my grocery list,सुनिश्चित करो कि ब्रेड मेरी ग्रोसरी सूची में हों,सारतेमे चि ब्रेड आञा किराना सूची रे ताइनोःका
And that is the real power and only then can we celebrate the victory together.,और वही सच्ची शक्ति की साधना हो और तभी जाकर कर के हम मिल कर के विजय का पर्व मना सकते हैं।,ओड़ो: एना सरति पेड़े रआ गि साधना होबाओ का ओड़ो: इमताङ  सेन केयाते आबु जामा ते  जिताव कन रआ परब बु मनातिङ दाड़िआ।
"""Pujya Bapu's thoughts and ideals are more relevant today than ever before, if the economic thinking of Mahatma Gandhi had been captured, understood, and followed that path, there would have been no need for the Atmanirbhar Bharat campaign today.""","""पूज्य बापू के विचार और आदर्श आज पहले से कहीं ज्यादा प्रासंगिक हैं, महात्मा गाँधी का जो आर्थिक चिन्तन था, अगर उस spirit को पकड़ा गया होता, समझा गया होता, उस रास्ते पर चला गया होता, तो, आज आत्मनिर्भर भारत अभियान की जरूरत ही नहीं पड़ती।""","""मइनन बापूअः बिचार ओड़ोः आदर्श तिसिङ सिदाए ते जेता तेओ पुरअः गे रासिका मेनअः, महात्मा गांधीअः ओकोन आर्थिक उड़ु तइकेना, जदि एन spirit के सबोः जन रेदो, बुजव जनरेदो, एन होरा रे सेनोः जनरेदो, तिसिङ आत्मनिर्भर भारत अभियान रअः जरुड़ु गे का होबाओअः।"""
The President said that the tribal community attaches equal importance to humanity and nature.,राष्ट्रपति ने कहा कि जनजातीय समुदाय मानवता और प्रकृति को समान महत्व देता है।,राष्ट्रपति कजि केदा चि जनजातीय समुदाय मानवता ओड़ोः प्रकृति के मिद लेका मइन को ओम जदा।
"When you do this, you are in a way sharing a cultural capital with the whole society.",आप जब ऐसा करते हैं तो एक तरह से आप एक सांस्कृतिक पूँजी को पूरे समाज के साथ साझा करते हैं।,अपे एनकापे रिकाजद् रेदो मिद् लेकाते अपे मियद् ससंङकिर हिताअः के गोटा समाज कोलोओपे सजा जदा।
Can we associate local products with our prestige and pride?,क्या हम Local Products को अपनी प्रतिष्ठा और शान से जोड़ सकते हैं?,चना आइञ हातु दिसुम रे बाइया कान जिनिस को अपनाः प्रतिष्ठा ओड़ो शान ते जोड़ाव दड़िओआ?
"Just now, while I was talking to you, an idea came to my mind that can we hold a mock parliament in every district of India? Where these 18-25 year olds sit together to brainstorm on New India, find ways, make plans? How will we fulfil our resolutions before 2022? How can we build an India that our freedom fighters dreamt of? Mahatma Gandhi made the freedom movement a people's movement.","""अभी जब मैं आपसे बात कर रहा हूँ तो मुझे एक विचार आया कि क्या हम भारत के हर ज़िले में एक mock parliament आयोजित कर सकते हैं ? जहाँ ये 18 से 25 वर्ष के युवा, मिल-बैठ करके New India पर मंथन करें, रास्ते खोजें, योजनाएँ बनाएँ ? कैसे हम हमारे संकल्पों को 2022 से पहले सिद्ध करेंगें ? कैसे हम एक ऐसे भारत का निर्माण कर सकते हैं जिसका सपना हमारे स्वतंत्रता सेनानियों ने देखा था ? महात्मा गाँधी ने आज़ादी के आंदोलन को जन-आन्दोलन बना दिया था।""","""नअः चिमतङ अइङ अपे ते जगर तना दो अइङ के मियद् बिचार हिजुः जना चि चिनअः अबु भारत रअः सोबेन जिला रे मियद् mock  Parliament चलाव दड़िआ? ओकोतअः नेअः 18 ते 25 सिरमा रेन दंगड़ा को, जमा-दुब केआते New India रे मंथन रिका, होरा दांड़ाए पे, जोजना को बइएपे? चिलका अबु अबुअः किरिअः को 2022 ते सिदा सिद्ध रिकाएअः? चिलका अबु मियद् नेकन भारत बु बइ दड़िआ ओकोनअः रअः कुमु अबुअः स्वतंत्रता सेनानि को लेला कदा? महात्मा गाँधी आजादी रअः आन्दोलन के जन-आन्दोलन बइ केदा।"""
Why he did not ask anyone cannot be said about it.,किसलिए वह किसी से नहीं पूछा यह इसके बारे में कहा नहीं जा सकता है।,चिनअःमेनते काएः कुलि केद् कोअ एना कजि दो का धड़िओःअ ।
"""Not only this, if Kili and Nima in Tanzania can lip sync songs of India in this way, then do we have any Gujarati children on Tamil songs in my country, in many languages of our country, there are many types of songs.""","""इतना ही नहीं अगर तंजानिया में किलि और नीमा भारत के गीतों को इस प्रकार से Lip Sync कर सकते हैं तो क्या मेरे देश में, हमारे देश की कई भाषाओं में, कई प्रकार के गीत हैं क्या हम कोई गुजराती बच्चे तमिल गीत पर करें।""","""इमनङ गि का जुदि तंजानिया रे किलि ओड़ोः नीमा भारत रेअः दुरंङ को नेन लेकाते लिपसिंक दाड़ियआ को दो चिअः अञ: दिसुम रे, आबुअः दिसुम रेअः चिमिनङ जगर (भाषा) कोरे, चिमिनङ रोकोम रेअः दुरंङ मेनअः चिआः आबु जांन गुजराति होन तमिल दुरंङ रेबु रिकाएआ।"""
"Later, the sepoys from the West took the disciples from Kashmir on the day of their introduction to the religion and world of India.",बाद में पश्चिम के शिपयों को भारत के धर्म और संसार में पहचान बनाने के दिन शिष्यों को कश्मीर से ले गए।,तायोमते पश्चिम रेन चेला कोके भारत रेआ धरम आर ससंकिर लोः चिपिना रिका नागेन आको के काश्मीर तेएः इदि केद कोआ।
D: Sid Leke Gham Kaid.,दः सिद लेकए गम केद।,मूसलाधार पानी बरसा।
"Law is equal for all and everyone has to and must abide by the law, be it an individual, an organisation or a political party.","कानून सब के लिये समान होता है और कानून का पालन भी चाहे व्यक्ति हो, संगठन हो या राजनैतिक दल हो, हर किसी को कानून का पालन करना ही होता है और करना ही पड़ेगाI","अइन सोबेन को मेनते बराबरि होबाओअ ओड़ो: अइन रअ: जतनओ च होड़ो तनि:, गोट तनिः, राजनीतिक गोट तनि:, सोबेन कोके अइन रअ: जतन रिका होबाओ गेअ: ओडो: रिका गे होबाओअ ।"
Madara Munda kept her and brought her up.,मदरा मुण्डा ने उसे अपने पास रखा और पाल-पोस कर बड़ा किया।,बमाड़ एन होन मानकी मादरा मुण्डा तयःते सुतिःम्बा हातु तेए इदि तुकाऐया।
Khanda doom hi chuka.,खण्डा दोम हिचि तुकादा।,खण्डा दोम हिचि तुकादा।
Our Narmada scheme has been in the making for twenty years.,हमारी नर्मदा योजना बीस साल से बन रही है।,अबुआः नर्मदा योजना बारगेल सिरमा ते बाइओःतानगेआ।
"Good. ""","अच्छा।""","हे ""मर।"""
"The spermatozoa, although very minute, each have a head, a midrib, and a tail.","शुक्राणु यद्यपि बहुत सूक्ष्म होते हैं, पर प्रत्येक में एक सिर, एक मध्य भाग एवं एक पूँछ होती है।","शुक्राणु जबचि इसु हुउिङ तइना, मेनदो सोबेना रे मियद् बोः मियद् तला भाग ओड़ोः मियद चलोम तइना।"
"iii. the union of the living beings in human form under the tree, that is, under the lion -",iii. सिङ-तले वृक्ष-तले अर्थात् सरना और जीव जन्तुओं का मनुष्य रुप में संयोग -,iii. सिङ-सुबा दारू-सुबा ओड़ो: जीव जन्तुकोअ: मनोवा रुप रेअ: मेनेसा-
"Bir Singh: If you are not going to tell the story, think about something else.",बीरसिंह-आप यदि कहानी नहीं सुनायेंगे तो कोई बात के बारे में सोचिए ।,बिरसिड. - का‘नि काम का‘निअलेरे दो जान जगरगे उडुड.एमे।
"At night, after dinner as usual, Sandu was crossing the river from Lata with his dholak and rooster.","रात के समय, हर दिन की तरह खाना खाने के बाद सान्दु अपने ढोलक और मुर्गे को लेकर लता से नदी पार कर रहा था।","निदा दिपिलि जनव लेका मंडी- उतु जोम के आते अएअ दुलकी, संडी सिम इदि किना ते बान्दु नाड़ि ते हका परोमेन तन केना।"
He reached home later.,कुछ देर मे घर पहुँच गए।,हुडिङ हेड़ा रेदो ओड़अ किन तेबा केदा।
No photographs of the Dombari Buru incident have been seen.,डोंबारी बुरू की घटना की कोई तस्वीर नहीं दिखी है।,"डोंबरी रेअः घटना ओड़ो गे मेना, ओकोआ रे कमि होबाओ लगातिङा।"
"Ridu - We have done one ganj in the barn, after cutting and finishing the remaining one, there will be equal to that and maybe two ganj, not more than that. Did you start cutting or not.","रिड़ु-हमलोगों ने खलिहान में एक गांज किये हैं, बचा हुआ को काटकर समाप्त करने पर, उसी के बराबर और शायद दो गांज होगा, इससे अधिक नहीं। तुमलोग काटना शुरू किया कि नहीं।","रिडु - कोलोमकोरे मिअदले पड़ोएतदा, सरेअःकनअः इर चबालेरे, एना इमपिरड. ओडोः बरिअ जाअः पड़ोएओअ; पुरअःदो का। अपेदो इरोःपे एटेःकेदा चि अउरिगे ?"
Where does the nakedar live?,नाकेदार कहां रहता है?,होरोनिः कोतअःरेः तइन तना?
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has been apprised of the Memorandum of Understanding (MoU) between India and Russia on cooperation in the Human Spaceflight Programme.,प्रधानमंत्री श्री नरेन्द्र मोदी की अध्यक्षता में केंद्रीय मंत्रिमंडल को मानव अंतरिक्ष उड़ान कार्यक्रम के अंतर्गत भारत और रूस के बीच समझौता ज्ञापन से अवगत कराया गया।,प्रधानमंत्री श्री नरेन्द्र मोदीअः अध्यक्षता रे केन्द्रीय मंत्रीमंडल के मानव अंतरिक्ष उड़ान कार्यक्रम रअः लेकाते भारत ओड़ोः रूसअः तला रे समझौता ज्ञापन रअः बारे रे उदुबाःइअ को।
Durga will not like it if both of you do not eat even after saying this.,"इतना कहने के बाद भी आप दोनों के नहीं खाने पर, दुरगा को अच्छा नहीं लगेगा।","निमिनङ कजिजनते काबेनअ: रे, दुरगा बे'से काए अटकरे ।"
"""When you're buying food items, it's good to get in the habit of checking the expiration date.""","""जब आप खाद्य वस्तुएं खरीद रहे होते हैं, तो समाप्ति तिथि की जांच करने की आदत डालना अच्छा होगा।""","ओकोन इमतंङ अपे जोमेअः जिनिस कोपे किरिङ जदा, दो टुनडु तारीख रअः जाँच रअः हेवा अउ माजा होबाओआ। """
Shri Arjun Munda proposed to set up Tribal Sports Academy to nurture the sporting talent of tribal youth.,श्री अर्जुन मुंडा ने जनजातीय युवाओं के खेल प्रतिभा को निखारने के लिए 'ट्राइबल स्पोर्ट्स एकेडमी' की स्थापना का प्रस्ताव दिया।,श्री अर्जुन मुंडा दो जनजातीय युवा कोअः खेल प्रतिभा को लेल रिका मेनते 'ट्राइबल स्पोर्ट्स एकेडमी' के बइ रअः प्रस्ताव ओमाइञा।
"It also has activities, sports.","इसमें activities भी हैं, खेल भी हैं |","नियारे activities कोयो मेनाः, इनुड. कोयो मेनाः।"
These words of Sardar Saheb are still inspiring and relevant to our vision of New India.,"सरदार साहब का ये कथन आज भी हमारे New India के vision के लिए प्रेरक है, प्रासंगिक हैं।",सरदार सयोबाअः नेआः जगर तिसिंङ ओ अबुआः New India रेअः vision नगेनते प्रेरक तनाः प्रसांगिक तना।
Raigada - I can't say about this.,रइगड़ा - इसके बारे में मैं कह नहीं सकती।,"रइगड़ा - एना दो, ना, काइङ कजि दड़िअ।"
"Old man - ""Hey, G, grab a small basket and walk.""","बुढ़ा-‘‘ऐ, जी, एक छोटी टोकरी को पकड़कर चलो।’’","हड़म, ‘‘मिअद् टुपअः, ना, सबेमे; दोला।’’"
"Perhaps, even in IITs, you will find some people who are not used to using mobile phones.",शायद यहां आई आई टी में भी कुछ लोग मिल जाएंगे जिनको पूरी तरह मोबाइल उपयोग करने की आदत नहीं होगी।,होबा दड़िओःअ नेताः आई आई टी रेओः तरा होड़ो को नमोःअ ओकोए तको सोबेन लेकाते मोबाइल कमि रे अउ रेअः हेओआ का होबाओःअ।
"Yes, this kind of thing is very good, and you should believe and act on this kind of thing.","हाँ, इस प्रकार की बात बहुत ही अच्छी है, और इस प्रकार की बातों को आप लोगों को विश्वास करना चाहिए और उसके आधार पर चलें।","हे, नेकन जगर पुरःगे बुगिना अद् नेकन जगर को अपे बिसुवास लगतिङ ओड़ोः एनलेका सेनेपे।"
"Of these, I have heard of kaduvakanda, kursi, sakhua seeds, handifal dal, kursi seeds and mango kernels and ole, being spread with tamarind leaves, but I have not seen them.","इनमें से मेरे जानकारी में कड़ुवाकन्द, कुरसी, सखुआ के बीज, हन्डिफल का दाल, कुरसी का बीज और आम की गुठली और ओल, इमली की पत्तियों के साथ पसाया जाता है कहके मैंने सुनी है, लेकिन मैंने उनलोगों को नहीं देखी है।","एनाकोरे अइङ इतुअना हड़द् बो’:, कुलु, हदअः सरजोम, हनडि जो’रअः दालि, कुरसि जङ, ओड़ोःउलि कुबु; अद् ओ’लदो जोजो सकमलोःको तङएअ मेनतेङ अयुमअकदा, मेनदो काइङ लेलअकद्कोअ।"
"About 300 million years ago, the Earth was heavily forested in low-lying areas.",लगभग 300 मिलियन वर्ष पूर्व पृथ्वी पर निचले जलीय क्षेत्रों में घने वन थे।,हला - जोला 300 मिलियन सिरमा सिदा ओते रे लतर उतर दअः क्षेत्र को रे अखण्ड बिर टोनङ तइकेना।
"A sense of peace and contentment pervades their rhythm, beat and dance.","उनकी लय, ताल और नृत्य में एक शान्ति और सन्तोष की भावना पाई जाती है।","एनारअ लय, ताल ओड़ओ सुसुन रे मिअद सुकु ओड़ओ सनङ रआ भाव नमओ तना।"
That is why the government has taken several concrete steps to strengthen internal security.,इसीलिए सरकार ने आंतआं रिक सुरसुक्षा को और मजबूत ब बू नाने के लिए अनेक ठोस कदम उठाए हैं।,नेया मेनते सरकार आंतरिक सुरक्षा को ओड़ो गे केटेः बइयोका मेनते रकम रेया केटेः होरा कोए बइया कदा।
Where we are starting a new venture capital fund.,जहां पर हम एक नया उद्यम पूंजी कोष शुरू कर रहे हैं।,कोताः रे आबु मिआद नवा उद्यम पूंजी कोष बु एटेः जादा।
"Sardar Vallabhbhai Patel was not only a man of transformative ideas, but he was also able to find practical solutions to complex problems.","सरदार वल्लभ भाई पटेल की विशेषता ये थी कि वे न सिर्फ़ परिवर्तनकारी विचार देते थे, लेकिन वे, इसको कर दिखाने के लिए जटिल-से-जटिल समस्या का व्यावहारिक हल ढूंढने में क़ाबिल थे।","सरदार बल्लभ भाई पटेलअः जरूड़ु को एनाको तइकेन चि इनिः मोन को बदजिओः तेआ उडु च विचार कोएः उदुब जद तइकेना, मेनदो इनिः एनाको रिका नगेनते हम्बल ते हम्बल दन्दा-पन्दा देअः व्यवहार रेअः होराः को दांड़ा रे तइकेना।"
"He had an MA in economics, and was employed elsewhere, but he wanted a good, respectable job.","उन्होंने अर्थषास्त्र में एमत्र ए. किया था।, कहीं पर उनको नौकरी करती थी, परन्तु वे अच्छी मान्य नौकरी चाहते थे।","आएः अर्थशास्त्र रे एम. ए. पास अकद होड़ो जेता रेगे कामि (नुकुरि) नाम केदाए होनाङ, मेनदो बुगिन मरङ माइनान नुकुरि सानाङ तान ताइकेना।"
Where will it go next?,आगे के लिए कहां से बचेगा?,आयारते नागेन कोतागाते बाञचाओ: आ?
"The first part (pages 01 to 85) gives various examples of jati, vachana, kriya, adjectives, etc., with vowel characters and consonant characters of Mundari.","प्रथम भाग में (पृष्ठ संख्या 01 से 85) में मुण्डारी के स्वर वर्ण और व्यंजन वर्णों के साथ जाति, वचन, क्रिया, विशेषण इत्यादि का विभिन्न उद्धाहरण देकर लिखे हैं।","सिदा हनाटिंग् रे (मुंअड़ 01 आते 85) रे होड़ो जगर रेअ: मुनु बनि ओड़ो: बोजा बनि लो: ते जाति, सकम, उदम, गमनङ एमनको रअ: रोकोमको जोनोका ओमजद् लो:ए ओमाकदा।"
add coffee to grocery list,किराने की सूची में कॉफ़ी जोड़ दो,किराना सूची रे किराना सूची रे कॉफी जोड़व तम जोड़व तम~।~
But is this true?,मगर क्या यह सत्य है ?,चि नेअ सरते गेआ?
"""No, one above the other, and one above them, and the other, so you go up, and I will go up with you.""","‘‘नहीं, एक के उपर दूसरा, और उनके उपर में और दूसरा, इस तरह से तुमलोग चढ़ते जाओ और मैं तुमसबके साथ ही उपर जाउंगा।’’","काएअ मिअद् निअः चेतन रे एटअः निः ओड़ोः इनिः चेतन रे ओड़ोः पटनः निः ने लेका देए: इदिपे आद् अइञ् अपेअः तेगेइञ् रकाबा ।"""
"Our farmers are doing wonders in honey production these days. The sweetness of honey is changing the lives of our farmers, increasing their income.","""हमारे किसान इन दिनों शहद के उत्पादन में ऐसा ही कमाल कर रहे हैं। शहद की मिठास हमारे किसानों का जीवन भी बदल रही है, उनकी आय भी बढ़ा रही है।""","अबुआ किसान ने दिन हुरूम सुकु रासे रआ उत्पादन रे नेका गि कमाल रिका जदा। हुरूम सुकु रआ हेडेम अबुआ किसान कोआ जीवनओ बदलि जदा, इनकुआ आय ओ हरा इदि तना। """
"Dimbu: In the Kahaani'( story of Dambu), the Dimbu king sees that the plough has sunk into the pit and become quiet.",डिम्बूअ: कहानि' (डम्बू की कहानी) में डिम्बू राजा देखता है कि हल गड्ढ़े में दब गया और शांत हो गया।,डिम्बूअ: कहानि रे डिम्बू राजाए: लेल कि:अ चि नयल गड़ा रेए: तोपान जना आद्ए: हपेन जना।
The boy took the snake.,लड़का साँप को ले चला।,एनाते होन बिङए इदि किआ।
"With more energy now than our government did in 10 years, we have to put all our strength on these four Amrit Pillars.","हमारी सरकार ने जितना 10 साल में किया, अब उससे भी ज्यादा ऊर्जा के साथ हमें इन चार अमृत स्तंभों पर अपनी पूरी ताकत लगानी है।","अलेअः सरकार चिमिनङ 10 बोरोस रे रिका कदए, नअः दो एना तेओ पुरअः पेड़ें लोओते अबु के नेअः उपुन निरल खुंटा रे अपनअः सोबेन पेड़ें एमोओः मेनअः ।"
"Ros I am very sorry. ""","रोस मुझे बहुत खेद है।""","मेस अइंग के बेसे दुकु मेनाः। """
"In Garo marriages, the love song ""Dang Bong"" is sung in the Garo language at the Varmala ceremony.",गारो विवाह में वरमाला समारोह में गारो भाषा में प्रेम गीत “डांग बोंग” गाए जाते हैं।,"गारो अंड़दि रे वरमाला समारोह रे गारो जगर ते दुलाड़ा दुरंङ ""डांग बोंग"" दुरंङओ तना।"
"This Diwali, as every year, I once again went to the border, to the border with China, to celebrate Diwali with the jawans.","हर वर्ष की तरह इस बार दिवाली के मौके पर, मैं फिर एक बार जवानों के साथ दिवाली मनाने के लिये, चीन की सीमा पर, सरहद पर गया था।","सोबेन सिरमा लेका जे नसकानोः सोहराई पोरोब रेअः मौका रे, अइञ ओड़ोः मिसा पलटनको लोः ते सोहराई पोरोब मनातिङ नङ मेनते, चीन रेअः सीमान रे, सरहद रे सेनाकन तइकेना।"
Do I have a list of Dabur safe?,क्या मेरे पास डाबर की एक सूची सुरक्षित है।,चिनअः अइङ तअः रे डबार रेअः मिअद् सूची बुगि लेका मेनअः।
The weavers know early on which fabric to make and how much to make.,बुनकरों  को प्रारंभ में ही पता चल जाता है कि उन्हें कौन-सा कपड़ा बनाना है और कितना बनाना है।,तुकुइतानकोओ ऐटेरेगेको उरूमेअःको चि आकोके चिनकान लिजाःको बाइअःहेके ओड़ो चिमनाडःबाइअः हेके।
The government has also formulated guidelines under Paramparagat Krishi Vikas Yojana (PKVY) to promote organic farming and develop a market for organic products.,· सरकार ने जैविक कृषि को बढ़ावा देने और जैविक उत्पादों के बाजार को विकसित करने के लिए परंपरागत कृषि विकास योजना (पीकेवीवाई) के अंतर्गत दिशानिर्देश भी तैयार किए हैं।,"सरकार, जैविक कृषि के बढ़ावा एम मेनते ओड़ोः जैविक उत्पाद रेअः पीटि के हरा-रकाब मेनते परंपरागत कृषि विकास योजना (पी. के. वी. आई.) रेअः होराते दिशा-निर्देशओ तेयार कदा।"
"God came again and again and asked the same question, and every time he got the same answer. Then God thought, ""This is not right.""","भगवान बार-बार आकर पूछते और हर बर वही उत्तर मिलता। तब भगवान सोचने लगे, यह तो ठीक नहीं है।",एनते सिंग बोंगए एड़ुः केद चि नेय दो का ठीक जन कजि।
"Have you seen today's weather forecast, light rain is forecast in the morning.","क्या आपने आज का मौसम पूर्वानुमान देखा है, सुबह हल्की बारिश होने की संभावना बताई गई है","चिनअः अम तिसिङ रअः मौसम लेल उनुदुब लेला कदा, सेताः नोरोम दअः हिजुः रअः संभवना उदुबा कना।"
send a reply to robert for his email received this morning,रोबर्ट को उसकी आज सुबह मिली ईमेल के लिए जवाब भेजो,राबर्ट के इनिः तिसिङ सेताः नमलेन ईमेल मेनते जबाब कुलेपे
Ramu calls him'Tommy '.,रामू उसे 'टॉमी' कहता है।,रामू इनिः टॉनी लुतुम ते रअः इआ।
Union minister Rajiv Pratap Rudy told reporters that the party completely dissociates itself from what Shanta Kumar said or wrote.,"""केंद्रीय मंत्री राजीव प्रताप रूडी ने संवाददाताओं से कहा कि शांता कुमार ने जो कुछ कहा या लिखा, पार्टी उससे अपने आप को पूरी तरह से अलग करती है।""","केन्द्रीय मंत्री राजीव प्रताप रूडी पत्रकार को के कजिअद कोअः चि शान्ता कुमार ओकोनअः गे कजि केदा च ओल केदा, पार्टी एनाते अपन ते पुरअः गे बिनगा केनाए।"
The nation that does not eat you will be counted among the nations that are higher than you when you eat them.,"तुम्हारा नहीं खाने वाले जाति का तुम्हारे द्वारा खाने पर, वह तुमसे उंची जाति में गिनती किया जायेगा।","अमअः का जोजोम जतिअःम जोजोमरेदो, इनिः अमेते मरङ जतिरेए हिसाबोअ।"
He claimed that there are many such contradictions in the budget.,उन्होंने दावा किया कि बजट में ऐसे कई विरोधाभास हैं।,इनिः दावा केदए चि बजट रे ने लेकन चिमिन बिपिनगा को मेनअः।
vknfe,vknfe,s cqf<+
Book a cab that costs the most,एक कैब बुक करें जिसकी कीमत सबसे सस्ती हो,मोयोद टैक्सी बुक लेम ओकोआ गोनोङ सोबेनकोआते सस्ता मेनाः
Lakhs of people gather in Allahabad to participate in the Magh Mela festival on the banks of the Ganges.,गंगा के तट पर माघ मेला उत्सव में भाग लेने के लिए लाखों लोग इलाहाबाद में इकट्ठा होते हैं।,गंगा जनर रेअः गेना रे माघ मेला उत्सव रे जमन मेनते लाखों होड़ो को इलाहाबाद रे जमाओअः।
They eat and drink during the day by performing pooja and go to throw flowers in the evening.,दिन को तो पूजा पाठ करके खाते  पीते हैं और शाम शाम को फूल फेंकने जाते हैं।,सिगि दो बोंगा बुरू केचि को जोम नू केआ आद अयुब अयुब गिढ़ि बा को सेनोगा।
Chapter-11,अध्याय - 11,कुतुइल - 11
This discovery made them both weak.,इसी खोज कारण वे दोनों बलहीन हो गये,ने पुनुचिद् तेगोकिङ बनदुनुजनाः जेता काकिङ रिका दड़िअइङअ।’’
"When the note is held up by a source of light, the watermark is often visible from both sides.",जब नोट रौशनी के किसी स्त्रोत से लगाया जाता है तो जलचिह्न अक्सर दोनों तरफ से दिखाई देता है।,जब नोट मसकल रअः जान सेतोम ते लगावआ दो दअः चिना जनव बरन सअः ते लेलोगा।
Are all institutions related?,हर संस्था के संबंध है ?,सोबेन सनसटः रेअः संबंध तना  ?
"Hearing the two of them and the sound of the pots and the rooster chirping, Balga began to laugh, he ran away from there as he could not stop laughing and was listening from behind a tree at a distance and was laughing holding his stomach.","उनदोनों का चिल्लाना सुनकर और घड़ों का आवाज और मुर्गा का बकबकाहट सुनकर, बलगा को हंसी आना शुरू हुआ, वह हंसी को रोक नहीें पाने के कारण वहां से भाग गया और थोड़ी दूर में एक पेड़ के पीछे से सुन रहा था और पेट पकड़  कर हंस रहा था।","इनकिङअः ककला अयुमते, ओड़ोः चटुको रअः सड़ि अद् सिमअः बकाबका अयुमते, बलगा, लनदा काए समबड़वकेद्चिइ निरजना, अद् संगिननोः रअः मिअद् दरु दनङ आतेए अयुमतना, अद् लाइः चपुअ चुपअए लनदातना।"
Biogas is by far the most efficient at using animal dung.,बायोगैस अब तक पशुओं के गोबर का प्रयोग करने में सबसे दक्ष है।,बायोगैस नअः जकेद् उरिः मेरोम कोअः गुरूइ रेअः प्रयोग रिका रे सोबेन कोअः ते सेअकना को।
"They range in width from 10 to 50 km and in height from 900 to 1,100 m.","इनकी चौड़ाई 10 से 50 कि॰मी॰ तथा ऊँचाई 900 से 1,100 मीटर के बीच है।","नेअः रेअः चकार 10 (गेलेआः) ते 50 (बारहिसि गेलेआः) कि॰मी॰ (कोस) च सलांगि 900 आते 1,100 मीटर रेअः तलाः रे मेनाः।"
Traditional foods of the Bhilala people use seasonal vegetables and fruits.,भिलाला लोग के पारंपरिक भोजनों में मौसमी सब्जियों और फलों का उपयोग किया जाता है।,भीलाला होड़ोकोअः ससंकिर जोमेअः रे रिमबिल अड़अः सकम ओड़ोः जोः कोरअः कमि रे अउओः तना।
Have you ever been to the mountains?,क्या आप कभी पहाड़ी इलाकों में गए हो?,चिनअः अम जंइमतङ बुरू दिसुम रेम सेन केना?
He has initiated new programmes to improve health services in rural areas.,उन्होंने ग्रामीण क्षेत्रों में स्वास्थ्य सेवाओं के सुधार के लिए नए कार्यक्रमों की शुरुआत की है।,इनिः हातुओड़ाकोरे स्वास्थ्य देङगाको सुधार मेनते नावा कामिकोरमोको एटेः तादा।
"The lake is a popular picnic spot, built by Balak Rao Pratihar of the Kshatriya community in 1159 CE.","""यह झील एक लोकप्रिय पिकनिक स्थल है, जो 1159 ईस्वी में क्षत्रिय समुदाय के बालक राव प्रतिहार ने बनाई।""","नेअः झील मियद् उमिअकन पिकनिक टयद् तनअः, ओकोनअः 1156 ई. रे क्षत्रिय गोट रेन लड़कअः राव प्रतिहार बइअः कदा। """
My Oxigen reward has not been credited to my bank account.,मेरा आक्सीजन इनाम मेरे बैंक खाते में जमा नहीं किया गया है।,अइङअः ऑक्सीजन इनाम अइङअः बैंक खाता रे का जमा कना।
And where the improvement starts is in governance.,और जहां-जहां पर Governance पर सुधार शुरू होता है।,ओड़ोः ओकोतअः-ओकोतअः रे सासन रे सुधार एटेः गोअः।
The horse had come in the day itself on the pretext of roaming after seeing the place or the furniture tied.,दिन में ही घुमने का बहाना करते घोड़ा बांधा हुआ जगह या आसताबल को देख कर आ गया था।,सिंगि रेगे होनोर बेड़ा बहाना ते सदोम तोलो जगह च गोंड़ा लेल पदर सिंग केदा।
He then fell unconscious and died at 9 pm.,फिर वे बेहोश हो गये और 9 बजे उनकी मृत्यु हो गई।,एन तयोम ते 9 बजे लेका रेदो ए बेहोश जना आद् एन तअः रेगे जी सेनोः जना।
"You say big brother, everything will fall on your head.",तुम बड़े भाई कह के सब कुछ तुम्हारे माथे पर आ पड़ेगा।,मरङ बरेअकनम मेनते सो:बेनअ: अमअः बो': रेगे टोगो ।
"After that, no one has asked.",उसके बाद और तो किसी स्थान के लोगों ने नहीं पूछा है।,एनते ओड़ोःदो जेतारेनको काको कुलिअकद्लेअ ।
"Generally, these winds have a very low moisture content, as they originate and blow over terrestrial parts.","सामान्यतः इन पवनों में नमी की मात्रा बहुत कम होती है, क्योंकि ये स्थलीय भागों पर उत्पन्न होती हैं एवं बहती हैं।",भारत रेअः ओड़ोः तंत्र मेनाः।
