English,Hindi,Santali
"As you read above, only on the basis of the information provided by communication media do we act as citizens.","जस क आपन ऊपर पढ, सचर मधयम दवर परदन क गई जनकर क आधर पर ह हम नगरक क रप म कररवई करत ह","ᱪᱮᱛᱟᱱ ᱨᱮ ᱚᱞ ᱞᱮᱠᱟᱱ ᱞᱮᱠᱟᱛᱮ, ᱚᱱᱚᱞᱤᱭᱟᱹ ᱞᱮᱠᱟᱛᱮ ᱟᱵᱚ ᱫᱚ ᱢᱤᱰᱤᱭᱟ ᱦᱚᱛᱮᱛᱮ ᱮᱢ ᱟᱠᱟᱱ ᱠᱟᱛᱷᱟ ᱠᱚ ᱵᱟᱵᱚᱫ ᱛᱮᱜᱮ ᱠᱟᱹᱢᱤ ᱟᱵᱚᱱᱟ"
"All the ravens bowed down, and went into their own multitude.",सब कए क परणम कर अपनअपन घसल म चल गए,ᱥᱟᱱᱟᱢᱠᱳ ᱨᱩᱭᱟᱹᱲᱮᱱᱟ ᱟᱨ ᱟᱠᱚᱣᱟᱜ ᱚᱲᱟᱜᱛᱮ ᱠᱚ ᱪᱟᱞᱟᱣ ᱮᱱᱟ
"This time, the barley harvest has been ripe early, so were engaged in preparations for sale in harvest and market.","इस बर मकक क फसल जलद पक रह ह, इसलए हम कटई और बजर म बकर क लए तयरय म जट गए ह","ᱱᱚᱣᱟ ᱫᱷᱟᱣ ᱡᱚᱱᱰᱨᱟ ᱨᱮᱭᱟᱜ ᱪᱟᱥ ᱞᱚᱜᱚᱱ ᱤᱥᱤᱱᱚᱜ ᱠᱟᱱᱟ, ᱚᱱᱟᱛᱮ ᱟᱞᱮ ᱦᱟᱴ ᱟᱨ ᱵᱟᱡᱟᱨ ᱨᱮ ᱟᱹᱠᱷᱨᱤᱧ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱯᱲᱟᱣ ᱞᱮ ᱞᱟᱜᱟᱣ ᱟᱠᱟᱱᱟ"
"On the other hand, it will be a support for the Indian Navy Brus Brutt, including 81 people, and theyll be able to cut off the government office at the High Court of Human Rights.","नसन क इस दसत क भरतय नसन बरस बणड क समरथन मलग, जसम 81 लग शमल ह और इनक नततव मसटर चफ पट ऑफसर रमश चद कटच करग","ᱱᱚᱣᱟ ᱞᱟᱹᱣᱠᱟᱹ ᱜᱟᱫᱮᱞ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱞᱟᱹᱣᱠᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱵᱨᱟᱥ ᱵᱮᱱᱰ ᱨᱮᱭᱟᱜ ᱜᱚᱲᱚ ᱠᱚ ᱧᱟᱢᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱘᱑ ᱦᱚᱲ ᱠᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱟᱨ ᱩᱱᱠᱩᱣᱟᱜ ᱟᱹᱭᱩᱨ ᱛᱮ ᱢᱮᱥᱴᱟᱨ ᱥᱤᱯᱷ ᱯᱮᱴᱤ ᱚᱯᱷᱤᱥᱟᱨ ᱨᱚᱢᱮᱥ ᱪᱟᱸᱫᱽ ᱠᱟᱴᱳᱪ ᱛᱟᱦᱮᱱᱟ"
"Yes, there has been an increased progress in the direction of making common discussions on many issues but on many of these wellknown subjects have not yet been agreed into agreement with us and our Mr. Bodilyna thousand.",हलक अनक मदद पर आम सहमत बनन क दश म परयपत परगत हई ह लकन अनक महतवपरण वषय पर अभ भ हमर और शर अनन हजर दवर नमत वयकतय म सहमत नह बन पई ह,"ᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱟᱭᱢᱟ ᱥᱟᱛᱟᱢ ᱨᱮ ᱢᱤᱫ ᱠᱟᱛᱷᱟ ᱵᱮᱱᱟᱣ ᱥᱮᱫ ᱟᱹᱰᱤ ᱞᱟᱦᱟ ᱟᱠᱟᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱟᱭᱢᱟ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱥᱟᱛᱟᱢ ᱠᱚ ᱪᱮᱛᱟᱱ ᱨᱮ ᱱᱤᱛ ᱦᱚᱸ ᱟᱵᱚ ᱟᱨ ᱢᱟᱱ ᱟᱱᱱᱟ ᱦᱟᱡᱟᱨᱮ ᱫᱟᱨᱟᱭ ᱛᱮ ᱵᱟᱪᱷᱱᱟᱣ ᱟᱠᱟᱱ ᱦᱚᱲ ᱠᱚ ᱛᱟᱞᱟ ᱨᱮ ᱢᱤᱫ ᱠᱟᱛᱷᱟ ᱵᱟᱝ ᱦᱩᱭ ᱟᱠᱟᱱᱟ"
This violence moved the British Empire to try hard to return and answer.,इस हस न बरटश रज क वपस लटन और जवब दन हत दढ परयस करन क लए पररत कय,ᱱᱚᱣᱟ ᱦᱤᱝᱥᱟᱹ ᱫᱚ ᱵᱨᱤᱴᱤᱥ ᱨᱟᱡᱽ ᱫᱚ ᱨᱩᱣᱟᱹᱲ ᱦᱮᱡ ᱟᱨ ᱡᱚᱵᱟᱵ ᱮᱢᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱞᱟᱹᱜᱤᱫ ᱮ ᱩᱫᱽᱜᱟᱹᱣ ᱞᱮᱫᱮᱭᱟ
Do they have much experience in working with people like your financial profiles and similar financial goals?,कय उनक पस आपक जस ह वततय परफइल और समन वततय लकषय वल लग क सथ कम करन क कफ अनभव ह?,ᱟᱢᱟᱜ ᱞᱮᱠᱟᱱ ᱠᱟᱹᱣᱰᱤ ᱯᱨᱳᱯᱷᱟᱭᱤᱞ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱠᱟᱹᱣᱰᱤ ᱡᱚᱥᱟᱱ ᱦᱚᱲ ᱠᱚ ᱥᱟᱶ ᱠᱟᱹᱢᱤ ᱨᱮ ᱪᱮᱫ ᱩᱱᱠᱩᱣᱟᱜ ᱡᱚᱛᱷᱮᱥᱴᱚ ᱵᱩᱡᱩᱱ ᱢᱮᱱᱟᱜᱼᱟ ?
Our festival farmers labor makes them colorful,हमर परव कसन क परशरम स ह रगबरग बनत ह,ᱪᱟᱹᱥᱤ ᱠᱚᱣᱟᱜ ᱪᱷᱩᱴᱟᱹᱣ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱟᱵᱚᱣᱟᱜ ᱯᱟᱨᱟᱵᱽ ᱠᱚ ᱨᱚᱝᱟᱱᱟᱜ ᱦᱩᱭᱩᱜᱼᱟ
"While selling white crops in the market, farmers always take care of the demand for a customer and the amount of production.",बजर म तज फसल बचत समय कसन हमश गरहक क मग और उतपदन क मतर क धयन रखत ह,ᱪᱟᱹᱥᱤ ᱠᱚ ᱵᱟᱡᱟᱨ ᱨᱮ ᱱᱟᱣᱟ ᱟᱨᱡᱟᱣ ᱠᱚ ᱟᱹᱠᱷᱨᱤᱧ ᱚᱠᱛᱚ ᱥᱟᱱᱟᱢ ᱚᱠᱛᱚ ᱜᱮ ᱠᱤᱨᱤᱧᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱪᱟᱹᱦᱤᱫᱟ ᱟᱨ ᱟᱨᱡᱟᱣ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱪᱮᱛᱟᱱ ᱨᱮ ᱠᱟᱛᱷᱟ ᱠᱚ ᱫᱚᱦᱚᱼᱟ
The city is surrounded by seven mountains and many streams.,यह शहर सत पहड तथ अनक फयरड स घर ह,ᱱᱚᱣᱟ ᱱᱟᱜᱟᱨ ᱫᱚ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱩᱨᱩ ᱟᱨ ᱟᱭᱢᱟ ᱯᱷᱩᱨᱰ ᱛᱮ ᱜᱷᱮᱨᱟᱣ ᱟᱠᱟᱱᱟ
How many difficulties we spent time out.,कतन कठनइय स हम समय बतत थ,ᱟᱵᱚ ᱛᱤᱱᱟᱹᱜ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱛᱮ ᱚᱠᱛᱚ ᱵᱚᱱ ᱠᱷᱟᱸᱰᱟᱣᱮᱫ ᱛᱟᱦᱮᱸᱫ
